# time	stress	strain
5.3500000000	0.4991761836	0.0126442804
5.3600000000	0.4743458286	0.0120153202
5.3700000000	0.4476229511	0.0113384218
5.3800000000	0.4191155266	0.0106163203
5.3900000000	0.3889385403	0.0098519283
5.4000000000	0.3572134941	0.0090483235
5.4100000000	0.3240678887	0.0082087355
5.4200000000	0.2896346849	0.0073365323
5.4300000000	0.2540517445	0.0064352059
5.4400000000	0.2174612559	0.0055083580
5.4500000000	0.1800091455	0.0045596849
5.4600000000	0.1418444783	0.0035929626
5.4700000000	0.1031188507	0.0026120310
5.4800000000	0.0639857772	0.0016207787
5.4900000000	0.0246000751	0.0006231272
5.5000000000	-0.0148827524	-0.0003769845
5.5100000000	-0.0543071294	-0.0013756157
5.5200000000	-0.0935180169	-0.0023688390
5.5300000000	-0.1323615150	-0.0033527563
5.5400000000	-0.1706854567	-0.0043235131
5.5500000000	-0.2083399895	-0.0052773136
5.5600000000	-0.2451781445	-0.0062104350
5.5700000000	-0.2810563900	-0.0071192415
5.5800000000	-0.3158351689	-0.0080001983
5.5900000000	-0.3493794168	-0.0088498840
5.6000000000	-0.3815590607	-0.0096650039
5.6100000000	-0.4122494959	-0.0104424017
5.6200000000	-0.4413320403	-0.0111790712
5.6300000000	-0.4686943648	-0.0118721670
5.6400000000	-0.4942308981	-0.0125190149
5.6500000000	-0.5178432063	-0.0131171216
5.6600000000	-0.5394403443	-0.0136641835
5.6700000000	-0.5589391807	-0.0141580948
5.6800000000	-0.5762646927	-0.0145969552
5.6900000000	-0.5913502325	-0.0149790764
5.7000000000	-0.6041377639	-0.0153029883
5.7100000000	-0.6145780679	-0.0155674443
5.7200000000	-0.6226309177	-0.0157714254
5.7300000000	-0.6282652223	-0.0159141440
5.7400000000	-0.6314591390	-0.0159950468
5.7500000000	-0.6322001527	-0.0160138169
5.7600000000	-0.6304851247	-0.0159703748
5.7700000000	-0.6263203077	-0.0158648787
5.7800000000	-0.6197213292	-0.0156977247
5.7900000000	-0.6107131423	-0.0154695446
5.8000000000	-0.5993299439	-0.0151812048
5.8100000000	-0.5856150605	-0.0148338028
5.8200000000	-0.5696208019	-0.0144286635
5.8300000000	-0.5514082828	-0.0139673350
5.8400000000	-0.5310472127	-0.0134515830
5.8500000000	-0.5086156540	-0.0128833850
5.8600000000	-0.4841997501	-0.0122649230
5.8700000000	-0.4578934220	-0.0115985759
5.8800000000	-0.4297980356	-0.0108869114
5.8900000000	-0.4000220406	-0.0101326767
5.9000000000	-0.3686805798	-0.0093387882
5.9100000000	-0.3358950726	-0.0085083216
5.9200000000	-0.3017927711	-0.0076445002
5.9300000000	-0.2665062921	-0.0067506832
5.9400000000	-0.2301731250	-0.0058303534
5.9500000000	-0.1929351175	-0.0048871036
5.9600000000	-0.1549379404	-0.0039246239
5.9700000000	-0.1163305342	-0.0029466869
5.9800000000	-0.0772645375	-0.0019571336
5.9900000000	-0.0378937012	-0.0009598587
6.0000000000	0.0016267113	0.0000412051
6.0100000000	0.0411405335	0.0010421019
6.0200000000	0.0804913151	0.0020388688
6.0300000000	0.1195229463	0.0030275516
6.0400000000	0.1580802859	0.0040042204
6.0500000000	0.1960097909	0.0049649860
6.0600000000	0.2331601428	0.0059060154
6.0700000000	0.2693828706	0.0068235478
6.0800000000	0.3045329658	0.0077139101
6.0900000000	0.3384694864	0.0085735322
6.1000000000	0.3710561488	0.0093989620
6.1100000000	0.4021619023	0.0101868800
6.1200000000	0.4316614856	0.0109341132
6.1300000000	0.4594359606	0.0116376488
6.1400000000	0.4853732222	0.0122946473
6.1500000000	0.5093684805	0.0129024543
6.1600000000	0.5313247133	0.0134586122
6.1700000000	0.5511530862	0.0139608708
6.1800000000	0.5687733382	0.0144071970
6.1900000000	0.5841141310	0.0147957838
6.2000000000	0.5971133595	0.0151250581
6.2100000000	0.6077184218	0.0153936875
6.2200000000	0.6158864478	0.0156005860
6.2300000000	0.6215844850	0.0157449189
6.2400000000	0.6247896400	0.0158261065
6.2500000000	0.6254891750	0.0158438259
6.2600000000	0.6236805601	0.0157980131
6.2700000000	0.6193714788	0.0156888628
6.2800000000	0.6125797893	0.0155168273
